order_id,customer_id,placed_at,items,total,status,carrier,eta
1001,c-1039,2026-01-05,1,189.00,delivered,DPD,
1002,c-1033,2026-01-05,2,102.10,delivered,Royal Mail,
1003,c-1010,2026-01-06,2,111.50,delivered,DPD,
1004,c-1036,2026-01-07,4,145.59,delivered,Royal Mail,
1005,c-1021,2026-01-07,4,144.50,delivered,DPD,
1006,c-1038,2026-01-07,3,417.00,delivered,Royal Mail,
1007,c-1018,2026-01-07,1,6.80,delivered,DPD,
1008,c-1005,2026-01-08,4,298.50,delivered,DPD,
1009,c-1024,2026-01-10,2,84.50,delivered,DPD,
1010,c-1027,2026-01-10,4,115.09,delivered,DPD,
1011,c-1021,2026-01-10,1,24.99,delivered,DPD,
1012,c-1028,2026-01-11,3,183.05,delivered,Royal Mail,
1013,c-1030,2026-01-11,2,28.45,delivered,Royal Mail,
1014,c-1007,2026-01-12,3,125.00,delivered,Royal Mail,
1015,c-1004,2026-01-12,1,129.00,delivered,DPD,
1016,c-1035,2026-01-13,2,106.50,delivered,DPD,
1017,c-1011,2026-01-13,1,6.80,delivered,DPD,
1018,c-1025,2026-01-14,2,52.50,delivered,Royal Mail,
1019,c-1013,2026-01-15,3,117.10,delivered,Royal Mail,
1020,c-1017,2026-01-16,1,24.99,delivered,DPD,
1021,c-1013,2026-01-18,1,9.95,delivered,DPD,
1022,c-1035,2026-01-18,1,189.00,delivered,DPD,
1023,c-1013,2026-01-19,1,12.00,delivered,DPD,
1024,c-1012,2026-01-19,3,271.99,delivered,Royal Mail,
1025,c-1005,2026-01-19,2,30.50,delivered,DPD,
1026,c-1032,2026-01-20,1,18.50,delivered,DPD,
1027,c-1034,2026-01-20,3,202.00,delivered,Royal Mail,
1028,c-1016,2026-01-20,2,130.50,delivered,DPD,
1029,c-1020,2026-01-21,4,193.30,delivered,Royal Mail,
1030,c-1026,2026-01-22,1,189.00,delivered,Royal Mail,
1031,c-1019,2026-01-22,4,230.49,delivered,Royal Mail,
1032,c-1034,2026-01-22,1,39.00,delivered,Royal Mail,
1033,c-1000,2026-01-22,1,12.00,delivered,DPD,
1034,c-1032,2026-01-23,3,107.00,delivered,DPD,
1035,c-1003,2026-01-24,4,170.10,delivered,DPD,
1036,c-1013,2026-01-25,3,89.79,delivered,DPD,
1037,c-1004,2026-01-25,4,248.30,delivered,DPD,
1038,c-1000,2026-01-26,4,238.00,delivered,DPD,
1039,c-1035,2026-01-30,2,195.80,delivered,Royal Mail,
1040,c-1034,2026-01-30,4,178.00,delivered,Royal Mail,
